stage,rng_normals,multiplies,adds,sqrts,relus,cim_mac_ops,cim_mac_slots,cim_array_uses,adc_ops,dac_ops,tile_accum_adds,reads,writes,utilization
RNG,300000,0,0,0,0,0,0,0,0,0,0,0,300000,0.0
NN surrogate (CIM),0,600000,20400000,300000,12800000,563200000,633600000,800000,19800000,23400000,6700000,16405763,15200000,0.8888888888888888
Euclidean distance,0,300000,200000,100000,0,0,0,0,0,0,0,300000,100000,0.0
Total,300000,900000,20600000,400000,12800000,563200000,633600000,800000,19800000,23400000,6700000,16705763,15600000,0.8888888888888888
