row_type,batch_index,param_batch_size,latency_seconds,latency_milliseconds,samples_per_second,k_batches,total_latency_seconds,total_latency_milliseconds,average_batch_latency_seconds,average_batch_latency_milliseconds,total_samples,effective_samples_per_second
batch,0,50000,0.0006086854264140129,0.6086854264140129,82144237.12190412,,,,,,,
batch,1,50000,0.000586317852139473,0.586317852139473,85277976.47223273,,,,,,,
batch,2,50000,0.0005810204893350601,0.5810204893350601,86055484.99196944,,,,,,,
batch,3,50000,0.0005815103650093079,0.5815103650093079,85982990.17284013,,,,,,,
batch,4,50000,0.0005849432200193405,0.5849432200193405,85478381.98440321,,,,,,,
batch,5,50000,0.0005783587694168091,0.5783587694168091,86451529.12683895,,,,,,,
batch,6,50000,0.0005829939618706703,0.5829939618706703,85764181.56984593,,,,,,,
batch,7,50000,0.0005804896354675293,0.5804896354675293,86134182.15422527,,,,,,,
batch,8,50000,0.0005783606320619583,0.5783606320619583,86451250.70449752,,,,,,,
batch,9,50000,0.0005775094032287598,0.5775094032287598,86578676.85003613,,,,,,,
batch,10,50000,0.0005771834403276443,0.5771834403276443,86627571.94076283,,,,,,,
batch,11,50000,0.0005812468007206917,0.5812468007206917,86021978.85305291,,,,,,,
batch,12,50000,0.0005760528147220612,0.5760528147220612,86797596.8907025,,,,,,,
batch,13,50000,0.0005765343084931374,0.5765343084931374,86725107.70552896,,,,,,,
batch,14,50000,0.0005772300064563751,0.5772300064563751,86620583.54684445,,,,,,,
batch,15,50000,0.0005767922848463058,0.5767922848463058,86686318.99839503,,,,,,,
batch,16,50000,0.0005776621401309967,0.5776621401309967,86555784.99338987,,,,,,,
batch,17,50000,0.0005785729736089706,0.5785729736089706,86419522.30868042,,,,,,,
batch,18,50000,0.0005821408703923225,0.5821408703923225,85889863.67904983,,,,,,,
batch,19,50000,0.0005764318630099297,0.5764318630099297,86740520.79445632,,,,,,,
batch,20,50000,0.0005940627306699753,0.5940627306699753,84166195.61979714,,,,,,,
batch,21,50000,0.0005898140370845795,0.5898140370845795,84772482.26771176,,,,,,,
batch,22,50000,0.0005929842591285706,0.5929842591285706,84319270.25091407,,,,,,,
batch,23,50000,0.000596347264945507,0.596347264945507,83843765.0998012,,,,,,,
batch,24,50000,0.0005933996289968491,0.5933996289968491,84260248.16450551,,,,,,,
batch,25,50000,0.0005942992866039276,0.5942992866039276,84132693.95916781,,,,,,,
batch,26,50000,0.0005901511758565903,0.5901511758565903,84724053.8450613,,,,,,,
batch,27,50000,0.0005939686670899391,0.5939686670899391,84179524.56140076,,,,,,,
batch,28,50000,0.0006003668531775475,0.6003668531775475,83282412.6371504,,,,,,,
batch,29,50000,0.000591641291975975,0.591641291975975,84510666.64567822,,,,,,,
batch,30,50000,0.0005957577377557755,0.5957577377557755,83926732.01081774,,,,,,,
batch,31,50000,0.0005950108170509338,0.5950108170509338,84032085.74898887,,,,,,,
batch,32,50000,0.0005908599123358727,0.5908599123358727,84622427.34040424,,,,,,,
batch,33,50000,0.0005974657833576202,0.5974657833576202,83686800.8055817,,,,,,,
batch,34,50000,0.0005903830751776695,0.5903830751776695,84690774.6888798,,,,,,,
batch,35,50000,0.0005980599671602249,0.5980599671602249,83603656.39822973,,,,,,,
batch,36,50000,0.0005892869085073471,0.5892869085073471,84848312.89846414,,,,,,,
batch,37,50000,0.000589713454246521,0.589713454246521,84786941.25078964,,,,,,,
batch,38,50000,0.0005964897572994232,0.5964897572994232,83823736.0962784,,,,,,,
batch,39,50000,0.0005891593173146248,0.5891593173146248,84866688.0596897,,,,,,,
batch,40,50000,0.000592314638197422,0.592314638197422,84414594.50025393,,,,,,,
batch,41,50000,0.0005903560668230057,0.5903560668230057,84694649.22936156,,,,,,,
batch,42,50000,0.0005887243896722794,0.5887243896722794,84929384.40656945,,,,,,,
batch,43,50000,0.0005943235009908676,0.5943235009908676,84129266.15999374,,,,,,,
batch,44,50000,0.0005773240700364113,0.5773240700364113,86606470.42976494,,,,,,,
batch,45,50000,0.0005781622603535652,0.5781622603535652,86480912.76214285,,,,,,,
batch,46,50000,0.000590132549405098,0.590132549405098,84726728.00441885,,,,,,,
batch,47,50000,0.0005944417789578438,0.5944417789578438,84112526.6929562,,,,,,,
batch,48,50000,0.0005954857915639877,0.5954857915639877,83965059.63421844,,,,,,,
batch,49,50000,0.0005775941535830498,0.5775941535830498,86565973.16615795,,,,,,,
batch,50,50000,0.0005796803161501884,0.5796803161501884,86254438.1911453,,,,,,,
batch,51,50000,0.0005786838009953499,0.5786838009953499,86402971.56063262,,,,,,,
batch,52,50000,0.0005801478400826454,0.5801478400826454,86184928.29840961,,,,,,,
batch,53,50000,0.000577777624130249,0.577777624130249,86538484.55150358,,,,,,,
batch,54,50000,0.0005937106907367706,0.5937106907367706,84216101.84912124,,,,,,,
batch,55,50000,0.0005917353555560112,0.5917353555560112,84497232.6404573,,,,,,,
batch,56,50000,0.000578572042286396,0.578572042286396,86419661.41746226,,,,,,,
batch,57,50000,0.0005811350420117378,0.5811350420117378,86038521.83291693,,,,,,,
batch,58,50000,0.0005773697048425674,0.5773697048425674,86599625.12864023,,,,,,,
batch,59,50000,0.0005784686654806137,0.5784686654806137,86435105.27654615,,,,,,,
batch,60,50000,0.0005820533260703087,0.5820533260703087,85902782.03128125,,,,,,,
batch,61,50000,0.0005778279155492783,0.5778279155492783,86530952.64957981,,,,,,,
batch,62,50000,0.0005775522440671921,0.5775522440671921,86572254.74165595,,,,,,,
batch,63,50000,0.0005864053964614868,0.5864053964614868,85265245.34342998,,,,,,,
batch,64,50000,0.0005787191912531853,0.5787191912531853,86397687.7831331,,,,,,,
batch,65,50000,0.0005814898759126663,0.5814898759126663,85986019.82798661,,,,,,,
batch,66,50000,0.0005765967071056366,0.5765967071056366,86715722.41712376,,,,,,,
batch,67,50000,0.0005791373550891876,0.5791373550891876,86335304.67448428,,,,,,,
batch,68,50000,0.0005768276751041412,0.5768276751041412,86681000.51020078,,,,,,,
batch,69,50000,0.0005801953375339508,0.5801953375339508,86177872.80490546,,,,,,,
batch,70,50000,0.0005778549239039421,0.5778549239039421,86526908.28037591,,,,,,,
batch,71,50000,0.0005784640088677406,0.5784640088677406,86435801.07579683,,,,,,,
batch,72,50000,0.0005826652050018311,0.582665205001831,85812572.24694389,,,,,,,
batch,73,50000,0.0005763331428170204,0.5763331428170204,86755378.59163943,,,,,,,
batch,74,50000,0.0005782116204500198,0.5782116204500198,86473530.16026415,,,,,,,
batch,75,50000,0.0005763936787843704,0.5763936787843704,86746267.07470375,,,,,,,
batch,76,50000,0.0005780495703220367,0.5780495703220367,86497772.1065419,,,,,,,
batch,77,50000,0.0005816277116537094,0.5816277116537094,85965642.62359132,,,,,,,
batch,78,50000,0.0005748122930526733,0.5748122930526733,86984917.69280623,,,,,,,
batch,79,50000,0.0005769394338130951,0.5769394338130951,86664209.56796302,,,,,,,
batch,80,50000,0.0005757343024015427,0.5757343024015427,86845615.74920332,,,,,,,
batch,81,50000,0.0005875816568732262,0.5875816568732262,85094555.65048002,,,,,,,
batch,82,50000,0.00058774184435606,0.58774184435606,85071363.35474098,,,,,,,
batch,83,50000,0.0005757072940468788,0.5757072940468788,86849689.96750037,,,,,,,
batch,84,50000,0.0005811760202050209,0.5811760202050209,86032455.33489415,,,,,,,
batch,85,50000,0.0005753589794039726,0.5753589794039726,86902267.61003388,,,,,,,
batch,86,50000,0.0005773929879069328,0.5773929879069328,86596133.04493275,,,,,,,
